STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),1994,15 - 24 years,Both sexes,Thousand,621
Population Estimates (Persons in April),1994,15 - 24 years,Male,Thousand,318
Population Estimates (Persons in April),1994,15 - 24 years,Female,Thousand,303
Population Estimates (Persons in April),1994,15 years and over,Both sexes,Thousand,2687
Population Estimates (Persons in April),1994,15 years and over,Male,Thousand,1321
Population Estimates (Persons in April),1994,15 years and over,Female,Thousand,1366
Population Estimates (Persons in April),1994,20 - 24 years,Both sexes,Thousand,290
Population Estimates (Persons in April),1994,20 - 24 years,Male,Thousand,149
Population Estimates (Persons in April),1994,20 - 24 years,Female,Thousand,141
Population Estimates (Persons in April),1994,25 - 29 years,Both sexes,Thousand,247
Population Estimates (Persons in April),1994,25 - 29 years,Male,Thousand,123
Population Estimates (Persons in April),1994,25 - 29 years,Female,Thousand,124
Population Estimates (Persons in April),1994,25 - 44 years,Both sexes,Thousand,987
Population Estimates (Persons in April),1994,25 - 44 years,Male,Thousand,489
Population Estimates (Persons in April),1994,25 - 44 years,Female,Thousand,497
Population Estimates (Persons in April),1994,30 - 34 years,Both sexes,Thousand,258
Population Estimates (Persons in April),1994,30 - 34 years,Male,Thousand,126
Population Estimates (Persons in April),1994,30 - 34 years,Female,Thousand,132
Population Estimates (Persons in April),1994,35 - 39 years,Both sexes,Thousand,247
Population Estimates (Persons in April),1994,35 - 39 years,Male,Thousand,123
Population Estimates (Persons in April),1994,35 - 39 years,Female,Thousand,125
Population Estimates (Persons in April),1994,40 - 44 years,Both sexes,Thousand,234
Population Estimates (Persons in April),1994,40 - 44 years,Male,Thousand,118
Population Estimates (Persons in April),1994,40 - 44 years,Female,Thousand,117
Population Estimates (Persons in April),1994,45 - 49 years,Both sexes,Thousand,216
Population Estimates (Persons in April),1994,45 - 49 years,Male,Thousand,110
Population Estimates (Persons in April),1994,45 - 49 years,Female,Thousand,106
Population Estimates (Persons in April),1994,45 - 64 years,Both sexes,Thousand,671
Population Estimates (Persons in April),1994,45 - 64 years,Male,Thousand,339
Population Estimates (Persons in April),1994,45 - 64 years,Female,Thousand,333
Population Estimates (Persons in April),1994,50 - 54 years,Both sexes,Thousand,171
Population Estimates (Persons in April),1994,50 - 54 years,Male,Thousand,87
Population Estimates (Persons in April),1994,50 - 54 years,Female,Thousand,84
Population Estimates (Persons in April),1994,55 - 59 years,Both sexes,Thousand,148
Population Estimates (Persons in April),1994,55 - 59 years,Male,Thousand,74
Population Estimates (Persons in April),1994,55 - 59 years,Female,Thousand,74
Population Estimates (Persons in April),1994,60 - 64 years,Both sexes,Thousand,137
Population Estimates (Persons in April),1994,60 - 64 years,Male,Thousand,68
Population Estimates (Persons in April),1994,60 - 64 years,Female,Thousand,69
Population Estimates (Persons in April),1994,65 - 69 years,Both sexes,Thousand,127
Population Estimates (Persons in April),1994,65 - 69 years,Male,Thousand,60
Population Estimates (Persons in April),1994,65 - 69 years,Female,Thousand,67
Population Estimates (Persons in April),1994,65 years and over,Both sexes,Thousand,409
Population Estimates (Persons in April),1994,65 years and over,Male,Thousand,175
Population Estimates (Persons in April),1994,65 years and over,Female,Thousand,234
Population Estimates (Persons in April),1994,70 - 74 years,Both sexes,Thousand,114
Population Estimates (Persons in April),1994,70 - 74 years,Male,Thousand,51
Population Estimates (Persons in April),1994,70 - 74 years,Female,Thousand,63
Population Estimates (Persons in April),1994,75 - 79 years,Both sexes,Thousand,82
Population Estimates (Persons in April),1994,75 - 79 years,Male,Thousand,34
Population Estimates (Persons in April),1994,75 - 79 years,Female,Thousand,48
Population Estimates (Persons in April),1994,80 - 84 years,Both sexes,Thousand,55
Population Estimates (Persons in April),1994,80 - 84 years,Male,Thousand,21
Population Estimates (Persons in April),1994,80 - 84 years,Female,Thousand,34
Population Estimates (Persons in April),1994,85 years and over,Both sexes,Thousand,32
Population Estimates (Persons in April),1994,85 years and over,Male,Thousand,9
Population Estimates (Persons in April),1994,85 years and over,Female,Thousand,22
Population Estimates (Persons in April),1994,All ages,Both sexes,Thousand,3586
Population Estimates (Persons in April),1994,All ages,Male,Thousand,1783
Population Estimates (Persons in April),1994,All ages,Female,Thousand,1803
Population Estimates (Persons in April),1995,Under 1 year,Both sexes,Thousand,48
Population Estimates (Persons in April),1995,Under 1 year,Male,Thousand,25
Population Estimates (Persons in April),1995,Under 1 year,Female,Thousand,23
Population Estimates (Persons in April),1995,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1995,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1995,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1995,0 - 14 years,Both sexes,Thousand,878
Population Estimates (Persons in April),1995,0 - 14 years,Male,Thousand,451
Population Estimates (Persons in April),1995,0 - 14 years,Female,Thousand,427
Population Estimates (Persons in April),1995,1 - 4 years,Both sexes,Thousand,207
Population Estimates (Persons in April),1995,1 - 4 years,Male,Thousand,107
Population Estimates (Persons in April),1995,1 - 4 years,Female,Thousand,101
Population Estimates (Persons in April),1995,5 - 9 years,Both sexes,Thousand,287
Population Estimates (Persons in April),1995,5 - 9 years,Male,Thousand,147
Population Estimates (Persons in April),1995,5 - 9 years,Female,Thousand,140
Population Estimates (Persons in April),1995,10 - 14 years,Both sexes,Thousand,335
Population Estimates (Persons in April),1995,10 - 14 years,Male,Thousand,172
Population Estimates (Persons in April),1995,10 - 14 years,Female,Thousand,163
Population Estimates (Persons in April),1995,15 - 19 years,Both sexes,Thousand,335
Population Estimates (Persons in April),1995,15 - 19 years,Male,Thousand,171
Population Estimates (Persons in April),1995,15 - 19 years,Female,Thousand,164
Population Estimates (Persons in April),1995,15 - 24 years,Both sexes,Thousand,626
Population Estimates (Persons in April),1995,15 - 24 years,Male,Thousand,319
Population Estimates (Persons in April),1995,15 - 24 years,Female,Thousand,306
Population Estimates (Persons in April),1995,15 years and over,Both sexes,Thousand,2723
Population Estimates (Persons in April),1995,15 years and over,Male,Thousand,1337
Population Estimates (Persons in April),1995,15 years and over,Female,Thousand,1387
Population Estimates (Persons in April),1995,20 - 24 years,Both sexes,Thousand,290
Population Estimates (Persons in April),1995,20 - 24 years,Male,Thousand,148
Population Estimates (Persons in April),1995,20 - 24 years,Female,Thousand,143
Population Estimates (Persons in April),1995,25 - 29 years,Both sexes,Thousand,253
Population Estimates (Persons in April),1995,25 - 29 years,Male,Thousand,126
Population Estimates (Persons in April),1995,25 - 29 years,Female,Thousand,127
Population Estimates (Persons in April),1995,25 - 44 years,Both sexes,Thousand,1000
Population Estimates (Persons in April),1995,25 - 44 years,Male,Thousand,495
Population Estimates (Persons in April),1995,25 - 44 years,Female,Thousand,504
Population Estimates (Persons in April),1995,30 - 34 years,Both sexes,Thousand,260
Population Estimates (Persons in April),1995,30 - 34 years,Male,Thousand,127
Population Estimates (Persons in April),1995,30 - 34 years,Female,Thousand,133
Population Estimates (Persons in April),1995,35 - 39 years,Both sexes,Thousand,250
Population Estimates (Persons in April),1995,35 - 39 years,Male,Thousand,123
Population Estimates (Persons in April),1995,35 - 39 years,Female,Thousand,126
Population Estimates (Persons in April),1995,40 - 44 years,Both sexes,Thousand,238
Population Estimates (Persons in April),1995,40 - 44 years,Male,Thousand,119
Population Estimates (Persons in April),1995,40 - 44 years,Female,Thousand,119
Population Estimates (Persons in April),1995,45 - 49 years,Both sexes,Thousand,222
Population Estimates (Persons in April),1995,45 - 49 years,Male,Thousand,112
Population Estimates (Persons in April),1995,45 - 49 years,Female,Thousand,110
Population Estimates (Persons in April),1995,45 - 64 years,Both sexes,Thousand,687
Population Estimates (Persons in April),1995,45 - 64 years,Male,Thousand,346
Population Estimates (Persons in April),1995,45 - 64 years,Female,Thousand,341
Population Estimates (Persons in April),1995,50 - 54 years,Both sexes,Thousand,176
Population Estimates (Persons in April),1995,50 - 54 years,Male,Thousand,90
Population Estimates (Persons in April),1995,50 - 54 years,Female,Thousand,87
Population Estimates (Persons in April),1995,55 - 59 years,Both sexes,Thousand,152
Population Estimates (Persons in April),1995,55 - 59 years,Male,Thousand,76
Population Estimates (Persons in April),1995,55 - 59 years,Female,Thousand,76
Population Estimates (Persons in April),1995,60 - 64 years,Both sexes,Thousand,136
Population Estimates (Persons in April),1995,60 - 64 years,Male,Thousand,68
Population Estimates (Persons in April),1995,60 - 64 years,Female,Thousand,69
Population Estimates (Persons in April),1995,65 - 69 years,Both sexes,Thousand,127
Population Estimates (Persons in April),1995,65 - 69 years,Male,Thousand,60
Population Estimates (Persons in April),1995,65 - 69 years,Female,Thousand,67
Population Estimates (Persons in April),1995,65 years and over,Both sexes,Thousand,411
Population Estimates (Persons in April),1995,65 years and over,Male,Thousand,176
Population Estimates (Persons in April),1995,65 years and over,Female,Thousand,235
Population Estimates (Persons in April),1995,70 - 74 years,Both sexes,Thousand,113
Population Estimates (Persons in April),1995,70 - 74 years,Male,Thousand,50
Population Estimates (Persons in April),1995,70 - 74 years,Female,Thousand,63
Population Estimates (Persons in April),1995,75 - 79 years,Both sexes,Thousand,82
Population Estimates (Persons in April),1995,75 - 79 years,Male,Thousand,35
Population Estimates (Persons in April),1995,75 - 79 years,Female,Thousand,48
Population Estimates (Persons in April),1995,80 - 84 years,Both sexes,Thousand,56
Population Estimates (Persons in April),1995,80 - 84 years,Male,Thousand,21
Population Estimates (Persons in April),1995,80 - 84 years,Female,Thousand,35
Population Estimates (Persons in April),1995,85 years and over,Both sexes,Thousand,33
Population Estimates (Persons in April),1995,85 years and over,Male,Thousand,10
Population Estimates (Persons in April),1995,85 years and over,Female,Thousand,23
Population Estimates (Persons in April),1995,All ages,Both sexes,Thousand,3601
Population Estimates (Persons in April),1995,All ages,Male,Thousand,1788
Population Estimates (Persons in April),1995,All ages,Female,Thousand,1813
Population Estimates (Persons in April),1996,Under 1 year,Both sexes,Thousand,49
Population Estimates (Persons in April),1996,Under 1 year,Male,Thousand,25
Population Estimates (Persons in April),1996,Under 1 year,Female,Thousand,24
Population Estimates (Persons in April),1996,0 - 4 years,Both sexes,Thousand,250
Population Estimates (Persons in April),1996,0 - 4 years,Male,Thousand,129
Population Estimates (Persons in April),1996,0 - 4 years,Female,Thousand,122
Population Estimates (Persons in April),1996,0 - 14 years,Both sexes,Thousand,859
Population Estimates (Persons in April),1996,0 - 14 years,Male,Thousand,442
Population Estimates (Persons in April),1996,0 - 14 years,Female,Thousand,418
Population Estimates (Persons in April),1996,1 - 4 years,Both sexes,Thousand,202
Population Estimates (Persons in April),1996,1 - 4 years,Male,Thousand,104
Population Estimates (Persons in April),1996,1 - 4 years,Female,Thousand,98
Population Estimates (Persons in April),1996,5 - 9 years,Both sexes,Thousand,283
Population Estimates (Persons in April),1996,5 - 9 years,Male,Thousand,145
Population Estimates (Persons in April),1996,5 - 9 years,Female,Thousand,138
Population Estimates (Persons in April),1996,10 - 14 years,Both sexes,Thousand,326
Population Estimates (Persons in April),1996,10 - 14 years,Male,Thousand,167
Population Estimates (Persons in April),1996,10 - 14 years,Female,Thousand,159
Population Estimates (Persons in April),1996,15 - 19 years,Both sexes,Thousand,340
Population Estimates (Persons in April),1996,15 - 19 years,Male,Thousand,174
Population Estimates (Persons in April),1996,15 - 19 years,Female,Thousand,166
Population Estimates (Persons in April),1996,15 - 24 years,Both sexes,Thousand,633
Population Estimates (Persons in April),1996,15 - 24 years,Male,Thousand,323
Population Estimates (Persons in April),1996,15 - 24 years,Female,Thousand,310
Population Estimates (Persons in April),1996,15 years and over,Both sexes,Thousand,2767
Population Estimates (Persons in April),1996,15 years and over,Male,Thousand,1359
Population Estimates (Persons in April),1996,15 years and over,Female,Thousand,1408
Population Estimates (Persons in April),1996,20 - 24 years,Both sexes,Thousand,293
Population Estimates (Persons in April),1996,20 - 24 years,Male,Thousand,149
Population Estimates (Persons in April),1996,20 - 24 years,Female,Thousand,144
Population Estimates (Persons in April),1996,25 - 29 years,Both sexes,Thousand,259
Population Estimates (Persons in April),1996,25 - 29 years,Male,Thousand,129
Population Estimates (Persons in April),1996,25 - 29 years,Female,Thousand,130
Population Estimates (Persons in April),1996,25 - 44 years,Both sexes,Thousand,1016
Population Estimates (Persons in April),1996,25 - 44 years,Male,Thousand,503
Population Estimates (Persons in April),1996,25 - 44 years,Female,Thousand,513
Population Estimates (Persons in April),1996,30 - 34 years,Both sexes,Thousand,261
Population Estimates (Persons in April),1996,30 - 34 years,Male,Thousand,128
Population Estimates (Persons in April),1996,30 - 34 years,Female,Thousand,133
Population Estimates (Persons in April),1996,35 - 39 years,Both sexes,Thousand,256
Population Estimates (Persons in April),1996,35 - 39 years,Male,Thousand,126
Population Estimates (Persons in April),1996,35 - 39 years,Female,Thousand,130
Population Estimates (Persons in April),1996,40 - 44 years,Both sexes,Thousand,240
Population Estimates (Persons in April),1996,40 - 44 years,Male,Thousand,120
Population Estimates (Persons in April),1996,40 - 44 years,Female,Thousand,120
Population Estimates (Persons in April),1996,45 - 49 years,Both sexes,Thousand,225
Population Estimates (Persons in April),1996,45 - 49 years,Male,Thousand,114
Population Estimates (Persons in April),1996,45 - 49 years,Female,Thousand,112
Population Estimates (Persons in April),1996,45 - 64 years,Both sexes,Thousand,704
Population Estimates (Persons in April),1996,45 - 64 years,Male,Thousand,355
Population Estimates (Persons in April),1996,45 - 64 years,Female,Thousand,349
Population Estimates (Persons in April),1996,50 - 54 years,Both sexes,Thousand,187
Population Estimates (Persons in April),1996,50 - 54 years,Male,Thousand,95
Population Estimates (Persons in April),1996,50 - 54 years,Female,Thousand,92
Population Estimates (Persons in April),1996,55 - 59 years,Both sexes,Thousand,154
Population Estimates (Persons in April),1996,55 - 59 years,Male,Thousand,78
Population Estimates (Persons in April),1996,55 - 59 years,Female,Thousand,76
Population Estimates (Persons in April),1996,60 - 64 years,Both sexes,Thousand,138
Population Estimates (Persons in April),1996,60 - 64 years,Male,Thousand,69
Population Estimates (Persons in April),1996,60 - 64 years,Female,Thousand,69
Population Estimates (Persons in April),1996,65 - 69 years,Both sexes,Thousand,127
Population Estimates (Persons in April),1996,65 - 69 years,Male,Thousand,60
Population Estimates (Persons in April),1996,65 - 69 years,Female,Thousand,67
Population Estimates (Persons in April),1996,65 years and over,Both sexes,Thousand,414
Population Estimates (Persons in April),1996,65 years and over,Male,Thousand,177
Population Estimates (Persons in April),1996,65 years and over,Female,Thousand,237
Population Estimates (Persons in April),1996,70 - 74 years,Both sexes,Thousand,113
Population Estimates (Persons in April),1996,70 - 74 years,Male,Thousand,50
Population Estimates (Persons in April),1996,70 - 74 years,Female,Thousand,62
Population Estimates (Persons in April),1996,75 - 79 years,Both sexes,Thousand,84
Population Estimates (Persons in April),1996,75 - 79 years,Male,Thousand,35
Population Estimates (Persons in April),1996,75 - 79 years,Female,Thousand,49
Population Estimates (Persons in April),1996,80 - 84 years,Both sexes,Thousand,56
Population Estimates (Persons in April),1996,80 - 84 years,Male,Thousand,21
Population Estimates (Persons in April),1996,80 - 84 years,Female,Thousand,35
Population Estimates (Persons in April),1996,85 years and over,Both sexes,Thousand,35
Population Estimates (Persons in April),1996,85 years and over,Male,Thousand,11
Population Estimates (Persons in April),1996,85 years and over,Female,Thousand,24
Population Estimates (Persons in April),1996,All ages,Both sexes,Thousand,3626
Population Estimates (Persons in April),1996,All ages,Male,Thousand,1800
Population Estimates (Persons in April),1996,All ages,Female,Thousand,1826
Population Estimates (Persons in April),1997,Under 1 year,Both sexes,Thousand,51
Population Estimates (Persons in April),1997,Under 1 year,Male,Thousand,26
Population Estimates (Persons in April),1997,Under 1 year,Female,Thousand,24
Population Estimates (Persons in April),1997,0 - 4 years,Both sexes,Thousand,250
Population Estimates (Persons in April),1997,0 - 4 years,Male,Thousand,129
Population Estimates (Persons in April),1997,0 - 4 years,Female,Thousand,121
Population Estimates (Persons in April),1997,0 - 14 years,Both sexes,Thousand,846
Population Estimates (Persons in April),1997,0 - 14 years,Male,Thousand,434
Population Estimates (Persons in April),1997,0 - 14 years,Female,Thousand,412
Population Estimates (Persons in April),1997,1 - 4 years,Both sexes,Thousand,200
Population Estimates (Persons in April),1997,1 - 4 years,Male,Thousand,103
Population Estimates (Persons in April),1997,1 - 4 years,Female,Thousand,97
Population Estimates (Persons in April),1997,5 - 9 years,Both sexes,Thousand,278
Population Estimates (Persons in April),1997,5 - 9 years,Male,Thousand,142
Population Estimates (Persons in April),1997,5 - 9 years,Female,Thousand,136
Population Estimates (Persons in April),1997,10 - 14 years,Both sexes,Thousand,318
Population Estimates (Persons in April),1997,10 - 14 years,Male,Thousand,164
Population Estimates (Persons in April),1997,10 - 14 years,Female,Thousand,155
Population Estimates (Persons in April),1997,15 - 19 years,Both sexes,Thousand,344
Population Estimates (Persons in April),1997,15 - 19 years,Male,Thousand,176
Population Estimates (Persons in April),1997,15 - 19 years,Female,Thousand,168
Population Estimates (Persons in April),1997,15 - 24 years,Both sexes,Thousand,641
Population Estimates (Persons in April),1997,15 - 24 years,Male,Thousand,328
Population Estimates (Persons in April),1997,15 - 24 years,Female,Thousand,313
Population Estimates (Persons in April),1997,15 years and over,Both sexes,Thousand,2818
Population Estimates (Persons in April),1997,15 years and over,Male,Thousand,1385
Population Estimates (Persons in April),1997,15 years and over,Female,Thousand,1433
Population Estimates (Persons in April),1997,20 - 24 years,Both sexes,Thousand,297
Population Estimates (Persons in April),1997,20 - 24 years,Male,Thousand,151
Population Estimates (Persons in April),1997,20 - 24 years,Female,Thousand,146
Population Estimates (Persons in April),1997,25 - 29 years,Both sexes,Thousand,264
Population Estimates (Persons in April),1997,25 - 29 years,Male,Thousand,132
Population Estimates (Persons in April),1997,25 - 29 years,Female,Thousand,133
Population Estimates (Persons in April),1997,25 - 44 years,Both sexes,Thousand,1038
Population Estimates (Persons in April),1997,25 - 44 years,Male,Thousand,514
Population Estimates (Persons in April),1997,25 - 44 years,Female,Thousand,524
Population Estimates (Persons in April),1997,30 - 34 years,Both sexes,Thousand,265
Population Estimates (Persons in April),1997,30 - 34 years,Male,Thousand,130
Population Estimates (Persons in April),1997,30 - 34 years,Female,Thousand,135
Population Estimates (Persons in April),1997,35 - 39 years,Both sexes,Thousand,261
Population Estimates (Persons in April),1997,35 - 39 years,Male,Thousand,129
Population Estimates (Persons in April),1997,35 - 39 years,Female,Thousand,132
Population Estimates (Persons in April),1997,40 - 44 years,Both sexes,Thousand,247
Population Estimates (Persons in April),1997,40 - 44 years,Male,Thousand,123
Population Estimates (Persons in April),1997,40 - 44 years,Female,Thousand,124
Population Estimates (Persons in April),1997,45 - 49 years,Both sexes,Thousand,228
Population Estimates (Persons in April),1997,45 - 49 years,Male,Thousand,115
Population Estimates (Persons in April),1997,45 - 49 years,Female,Thousand,113
Population Estimates (Persons in April),1997,45 - 64 years,Both sexes,Thousand,724
Population Estimates (Persons in April),1997,45 - 64 years,Male,Thousand,365
Population Estimates (Persons in April),1997,45 - 64 years,Female,Thousand,359
Population Estimates (Persons in April),1997,50 - 54 years,Both sexes,Thousand,198
Population Estimates (Persons in April),1997,50 - 54 years,Male,Thousand,101
Population Estimates (Persons in April),1997,50 - 54 years,Female,Thousand,98
Population Estimates (Persons in April),1997,55 - 59 years,Both sexes,Thousand,156
Population Estimates (Persons in April),1997,55 - 59 years,Male,Thousand,79
Population Estimates (Persons in April),1997,55 - 59 years,Female,Thousand,77
Population Estimates (Persons in April),1997,60 - 64 years,Both sexes,Thousand,141
Population Estimates (Persons in April),1997,60 - 64 years,Male,Thousand,70
Population Estimates (Persons in April),1997,60 - 64 years,Female,Thousand,71
Population Estimates (Persons in April),1997,65 - 69 years,Both sexes,Thousand,127
Population Estimates (Persons in April),1997,65 - 69 years,Male,Thousand,61
Population Estimates (Persons in April),1997,65 - 69 years,Female,Thousand,66
Population Estimates (Persons in April),1997,65 years and over,Both sexes,Thousand,416
Population Estimates (Persons in April),1997,65 years and over,Male,Thousand,179
Population Estimates (Persons in April),1997,65 years and over,Female,Thousand,238
Population Estimates (Persons in April),1997,70 - 74 years,Both sexes,Thousand,113
Population Estimates (Persons in April),1997,70 - 74 years,Male,Thousand,50
Population Estimates (Persons in April),1997,70 - 74 years,Female,Thousand,63
Population Estimates (Persons in April),1997,75 - 79 years,Both sexes,Thousand,85
Population Estimates (Persons in April),1997,75 - 79 years,Male,Thousand,36
Population Estimates (Persons in April),1997,75 - 79 years,Female,Thousand,49
Population Estimates (Persons in April),1997,80 - 84 years,Both sexes,Thousand,56
Population Estimates (Persons in April),1997,80 - 84 years,Male,Thousand,21
Population Estimates (Persons in April),1997,80 - 84 years,Female,Thousand,35
Population Estimates (Persons in April),1997,85 years and over,Both sexes,Thousand,36
Population Estimates (Persons in April),1997,85 years and over,Male,Thousand,11
Population Estimates (Persons in April),1997,85 years and over,Female,Thousand,25
Population Estimates (Persons in April),1997,All ages,Both sexes,Thousand,3664
Population Estimates (Persons in April),1997,All ages,Male,Thousand,1819
Population Estimates (Persons in April),1997,All ages,Female,Thousand,1845
Population Estimates (Persons in April),1998,Under 1 year,Both sexes,Thousand,53
Population Estimates (Persons in April),1998,Under 1 year,Male,Thousand,27
Population Estimates (Persons in April),1998,Under 1 year,Female,Thousand,26
Population Estimates (Persons in April),1998,0 - 4 years,Both sexes,Thousand,254
Population Estimates (Persons in April),1998,0 - 4 years,Male,Thousand,131
Population Estimates (Persons in April),1998,0 - 4 years,Female,Thousand,123
Population Estimates (Persons in April),1998,0 - 14 years,Both sexes,Thousand,836
Population Estimates (Persons in April),1998,0 - 14 years,Male,Thousand,429
Population Estimates (Persons in April),1998,0 - 14 years,Female,Thousand,407
Population Estimates (Persons in April),1998,1 - 4 years,Both sexes,Thousand,201
Population Estimates (Persons in April),1998,1 - 4 years,Male,Thousand,104
Population Estimates (Persons in April),1998,1 - 4 years,Female,Thousand,97
Population Estimates (Persons in April),1998,5 - 9 years,Both sexes,Thousand,274
Population Estimates (Persons in April),1998,5 - 9 years,Male,Thousand,140
Population Estimates (Persons in April),1998,5 - 9 years,Female,Thousand,134
Population Estimates (Persons in April),1998,10 - 14 years,Both sexes,Thousand,308
Population Estimates (Persons in April),1998,10 - 14 years,Male,Thousand,158
Population Estimates (Persons in April),1998,10 - 14 years,Female,Thousand,150
Population Estimates (Persons in April),1998,15 - 19 years,Both sexes,Thousand,344
Population Estimates (Persons in April),1998,15 - 19 years,Male,Thousand,176
Population Estimates (Persons in April),1998,15 - 19 years,Female,Thousand,168
Population Estimates (Persons in April),1998,15 - 24 years,Both sexes,Thousand,643
Population Estimates (Persons in April),1998,15 - 24 years,Male,Thousand,328
Population Estimates (Persons in April),1998,15 - 24 years,Female,Thousand,315
Population Estimates (Persons in April),1998,15 years and over,Both sexes,Thousand,2867
Population Estimates (Persons in April),1998,15 years and over,Male,Thousand,1410
Population Estimates (Persons in April),1998,15 years and over,Female,Thousand,1458
Population Estimates (Persons in April),1998,20 - 24 years,Both sexes,Thousand,299
Population Estimates (Persons in April),1998,20 - 24 years,Male,Thousand,152
Population Estimates (Persons in April),1998,20 - 24 years,Female,Thousand,147
Population Estimates (Persons in April),1998,25 - 29 years,Both sexes,Thousand,272
Population Estimates (Persons in April),1998,25 - 29 years,Male,Thousand,137
Population Estimates (Persons in April),1998,25 - 29 years,Female,Thousand,136
Population Estimates (Persons in April),1998,25 - 44 years,Both sexes,Thousand,1059
Population Estimates (Persons in April),1998,25 - 44 years,Male,Thousand,525
Population Estimates (Persons in April),1998,25 - 44 years,Female,Thousand,533
Population Estimates (Persons in April),1998,30 - 34 years,Both sexes,Thousand,268
Population Estimates (Persons in April),1998,30 - 34 years,Male,Thousand,132
Population Estimates (Persons in April),1998,30 - 34 years,Female,Thousand,136
Population Estimates (Persons in April),1998,35 - 39 years,Both sexes,Thousand,267
Population Estimates (Persons in April),1998,35 - 39 years,Male,Thousand,132
Population Estimates (Persons in April),1998,35 - 39 years,Female,Thousand,135
Population Estimates (Persons in April),1998,40 - 44 years,Both sexes,Thousand,251
Population Estimates (Persons in April),1998,40 - 44 years,Male,Thousand,125
Population Estimates (Persons in April),1998,40 - 44 years,Female,Thousand,126
Population Estimates (Persons in April),1998,45 - 49 years,Both sexes,Thousand,233
Population Estimates (Persons in April),1998,45 - 49 years,Male,Thousand,117
Population Estimates (Persons in April),1998,45 - 49 years,Female,Thousand,116
Population Estimates (Persons in April),1998,45 - 64 years,Both sexes,Thousand,746
Population Estimates (Persons in April),1998,45 - 64 years,Male,Thousand,376
Population Estimates (Persons in April),1998,45 - 64 years,Female,Thousand,370
Population Estimates (Persons in April),1998,50 - 54 years,Both sexes,Thousand,208
Population Estimates (Persons in April),1998,50 - 54 years,Male,Thousand,106
Population Estimates (Persons in April),1998,50 - 54 years,Female,Thousand,102
Population Estimates (Persons in April),1998,55 - 59 years,Both sexes,Thousand,162
Population Estimates (Persons in April),1998,55 - 59 years,Male,Thousand,82
Population Estimates (Persons in April),1998,55 - 59 years,Female,Thousand,80
Population Estimates (Persons in April),1998,60 - 64 years,Both sexes,Thousand,142
Population Estimates (Persons in April),1998,60 - 64 years,Male,Thousand,71
Population Estimates (Persons in April),1998,60 - 64 years,Female,Thousand,72
Population Estimates (Persons in April),1998,65 - 69 years,Both sexes,Thousand,128
Population Estimates (Persons in April),1998,65 - 69 years,Male,Thousand,62
Population Estimates (Persons in April),1998,65 - 69 years,Female,Thousand,66
Population Estimates (Persons in April),1998,65 years and over,Both sexes,Thousand,420
Population Estimates (Persons in April),1998,65 years and over,Male,Thousand,181
Population Estimates (Persons in April),1998,65 years and over,Female,Thousand,240
Population Estimates (Persons in April),1998,70 - 74 years,Both sexes,Thousand,112
Population Estimates (Persons in April),1998,70 - 74 years,Male,Thousand,50
Population Estimates (Persons in April),1998,70 - 74 years,Female,Thousand,62
Population Estimates (Persons in April),1998,75 - 79 years,Both sexes,Thousand,88
Population Estimates (Persons in April),1998,75 - 79 years,Male,Thousand,37
Population Estimates (Persons in April),1998,75 - 79 years,Female,Thousand,52
Population Estimates (Persons in April),1998,80 - 84 years,Both sexes,Thousand,55
Population Estimates (Persons in April),1998,80 - 84 years,Male,Thousand,21
Population Estimates (Persons in April),1998,80 - 84 years,Female,Thousand,34
Population Estimates (Persons in April),1998,85 years and over,Both sexes,Thousand,37
Population Estimates (Persons in April),1998,85 years and over,Male,Thousand,11
Population Estimates (Persons in April),1998,85 years and over,Female,Thousand,26
Population Estimates (Persons in April),1998,All ages,Both sexes,Thousand,3703
Population Estimates (Persons in April),1998,All ages,Male,Thousand,1839
Population Estimates (Persons in April),1998,All ages,Female,Thousand,1864
Population Estimates (Persons in April),1999,Under 1 year,Both sexes,Thousand,53
Population Estimates (Persons in April),1999,Under 1 year,Male,Thousand,27
Population Estimates (Persons in April),1999,Under 1 year,Female,Thousand,26
Population Estimates (Persons in April),1999,0 - 4 years,Both sexes,Thousand,260
Population Estimates (Persons in April),1999,0 - 4 years,Male,Thousand,134
Population Estimates (Persons in April),1999,0 - 4 years,Female,Thousand,126
Population Estimates (Persons in April),1999,0 - 14 years,Both sexes,Thousand,831
Population Estimates (Persons in April),1999,0 - 14 years,Male,Thousand,427
Population Estimates (Persons in April),1999,0 - 14 years,Female,Thousand,404
Population Estimates (Persons in April),1999,1 - 4 years,Both sexes,Thousand,206
Population Estimates (Persons in April),1999,1 - 4 years,Male,Thousand,107
Population Estimates (Persons in April),1999,1 - 4 years,Female,Thousand,100
Population Estimates (Persons in April),1999,5 - 9 years,Both sexes,Thousand,271
Population Estimates (Persons in April),1999,5 - 9 years,Male,Thousand,139
Population Estimates (Persons in April),1999,5 - 9 years,Female,Thousand,132
Population Estimates (Persons in April),1999,10 - 14 years,Both sexes,Thousand,300
Population Estimates (Persons in April),1999,10 - 14 years,Male,Thousand,154
Population Estimates (Persons in April),1999,10 - 14 years,Female,Thousand,146
